tenure,MonthlyCharges,TotalCharges,CLV,services_count,monthly_to_total_ratio,internet_no_tech_support,tenure_bucket_ord,is_auto_pay,is_long_contract,streaming_services,support_services,senior_fiber_optic,charges_per_month_of_tenure,high_charge_to_clv_ratio,tenure_years,per_service_charge,is_fiber_optic,has_streaming_any,has_support_any,has_multiple_lines_yes,is_electronic_check,paperless_autopay,family_bundle,early_tenure_flag,high_monthly_charge,tenure_remaining,tenure_fraction_complete,remaining_value,remaining_value_ratio,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure_bucket,ChurnFlag,CLV_quartile
66,61.15,4017.45,1467.6,5,0.99542852895265,1,3,1,1,0,3,0,60.87045454545454,0,5.5,12.23,0,0,1,0,0,1,0,0,0,0,2.75,0.0,0.0,Female,0,No,No,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),24m+,0,Premium
65,84.85,5459.2,2036.4,8,0.9898372693894202,0,3,1,1,2,4,0,83.9876923076923,0,5.416666666666667,10.60625,0,1,1,0,0,1,0,0,1,0,2.7083333333333335,0.0,0.0,Female,0,No,No,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),24m+,0,Premium
72,20.35,1354.4,488.4,1,0.9243789243789244,0,3,0,1,0,0,0,18.811111111111114,0,6.0,20.35,0,0,0,0,1,0,1,0,0,0,3.0,0.0,0.0,Male,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,24m+,0,Medium
68,72.95,4953.25,1750.8000000000002,6,0.9985183243962424,0,3,1,1,2,2,0,72.84191176470588,0,5.666666666666667,12.158333333333331,0,1,1,0,0,1,1,0,1,0,2.8333333333333335,0.0,0.0,Male,0,Yes,Yes,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),24m+,0,Premium
12,35.5,432.25,213.0,3,1.0146713615023475,0,1,0,0,0,2,0,36.020833333333336,1,1.0,11.833333333333334,0,0,1,0,0,0,1,0,0,0,2.0,0.0,0.0,Male,0,Yes,Yes,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,6-12m,0,Low
39,104.7,4134.85,1256.4,7,1.0126245928538191,0,3,1,1,2,3,0,106.02179487179488,0,3.25,14.957142857142856,1,1,1,0,0,1,1,0,1,0,3.25,0.0,0.0,Female,0,Yes,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),24m+,1,Premium
46,64.2,3009.5,1540.8000000000002,5,1.019064066097792,0,3,1,1,1,2,0,65.42391304347827,0,3.8333333333333335,12.84,0,1,1,0,0,1,1,0,0,0,1.9166666666666667,0.0,0.0,Female,0,Yes,No,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),24m+,0,Premium
71,61.4,4310.35,1473.6,6,0.9887484516217828,0,3,1,1,2,3,0,60.70915492957747,0,5.916666666666667,10.233333333333333,0,1,1,0,0,1,1,0,0,0,2.9583333333333335,0.0,0.0,Female,0,Yes,No,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),24m+,0,Premium
1,69.7,69.7,418.2000000000001,2,1.0,1,0,1,0,0,0,0,69.7,1,0.0833333333333333,34.85,1,0,0,0,0,0,0,1,0,5,0.1666666666666666,348.50000000000006,0.8333333333333334,Female,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0-6m,1,Medium
16,55.85,857.8,670.2,4,0.9599373321396596,1,2,0,1,0,2,0,53.6125,0,1.3333333333333333,13.9625,0,0,1,0,0,0,1,0,0,0,1.3333333333333333,0.0,0.0,Male,0,Yes,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,12-24m,0,High
