feature,value,odds_ratio,abs_value
num__tenure,0.09238542272493576,,0.09238542272493576
num__MonthlyCharges,0.04229226886403352,,0.04229226886403352
num__TotalCharges,0.05235799932583022,,0.05235799932583022
num__CLV,0.07186001212830413,,0.07186001212830413
num__services_count,0.010619668239732417,,0.010619668239732417
num__monthly_to_total_ratio,0.01907928934986539,,0.01907928934986539
num__internet_no_tech_support,0.05562609733649557,,0.05562609733649557
cat__gender_Female,0.004279729924568051,,0.004279729924568051
cat__gender_Male,0.0042508128568220374,,0.0042508128568220374
cat__SeniorCitizen_0,0.0020706608505500104,,0.0020706608505500104
cat__SeniorCitizen_1,0.001944016244516017,,0.001944016244516017
cat__Partner_No,0.0030985258042454306,,0.0030985258042454306
cat__Partner_Yes,0.002774059121865343,,0.002774059121865343
cat__Dependents_No,0.0034399493422748438,,0.0034399493422748438
cat__Dependents_Yes,0.0029986241974400856,,0.0029986241974400856
cat__PhoneService_No,0.0009013656669592797,,0.0009013656669592797
cat__PhoneService_Yes,0.0009636757332071457,,0.0009636757332071457
cat__MultipleLines_No,0.0035001690057032634,,0.0035001690057032634
cat__MultipleLines_No phone service,0.001015544244587166,,0.001015544244587166
cat__MultipleLines_Yes,0.0035677707484294365,,0.0035677707484294365
cat__InternetService_DSL,0.015264234685129259,,0.015264234685129259
cat__InternetService_Fiber optic,0.04890055895472784,,0.04890055895472784
cat__InternetService_No,0.010054053826397751,,0.010054053826397751
cat__OnlineSecurity_No,0.06323698522717956,,0.06323698522717956
cat__OnlineSecurity_No internet service,0.010313394716099343,,0.010313394716099343
cat__OnlineSecurity_Yes,0.00991852629175106,,0.00991852629175106
cat__OnlineBackup_No,0.012218559398069812,,0.012218559398069812
cat__OnlineBackup_No internet service,0.007730752889316111,,0.007730752889316111
cat__OnlineBackup_Yes,0.003929858015480017,,0.003929858015480017
cat__DeviceProtection_No,0.005089478388339272,,0.005089478388339272
cat__DeviceProtection_No internet service,0.006580890911485089,,0.006580890911485089
cat__DeviceProtection_Yes,0.0017328926349939279,,0.0017328926349939279
cat__TechSupport_No,0.05947186140708433,,0.05947186140708433
cat__TechSupport_No internet service,0.008167381842332034,,0.008167381842332034
cat__TechSupport_Yes,0.00624079730311059,,0.00624079730311059
cat__StreamingTV_No,0.00271242592209574,,0.00271242592209574
cat__StreamingTV_No internet service,0.007483402921951489,,0.007483402921951489
cat__StreamingTV_Yes,0.0030261703213415323,,0.0030261703213415323
cat__StreamingMovies_No,0.004217113455403724,,0.004217113455403724
cat__StreamingMovies_No internet service,0.008461044128432793,,0.008461044128432793
cat__StreamingMovies_Yes,0.004558594070298783,,0.004558594070298783
cat__Contract_Month-to-month,0.13156434482501056,,0.13156434482501056
cat__Contract_One year,0.014678672368018777,,0.014678672368018777
cat__Contract_Two year,0.05411884736004816,,0.05411884736004816
cat__PaperlessBilling_No,0.007503878055361922,,0.007503878055361922
cat__PaperlessBilling_Yes,0.007603737715652483,,0.007603737715652483
cat__PaymentMethod_Bank transfer (automatic),0.0025139489078349355,,0.0025139489078349355
cat__PaymentMethod_Credit card (automatic),0.002606520037476953,,0.002606520037476953
cat__PaymentMethod_Electronic check,0.02900450180983014,,0.02900450180983014
cat__PaymentMethod_Mailed check,0.002298362852444091,,0.002298362852444091
cat__tenure_bucket_0-6m,0.026036826127495385,,0.026036826127495385
cat__tenure_bucket_12-24m,0.0022653409897098313,,0.0022653409897098313
cat__tenure_bucket_24m+,0.0395973520212181,,0.0395973520212181
cat__tenure_bucket_6-12m,0.001873027908513498,,0.001873027908513498
