feature,value,odds_ratio,abs_value
cat__PhoneService_No,0.0009013656669592797,,0.0009013656669592797
cat__PhoneService_Yes,0.0009636757332071457,,0.0009636757332071457
cat__MultipleLines_No phone service,0.001015544244587166,,0.001015544244587166
cat__DeviceProtection_Yes,0.0017328926349939279,,0.0017328926349939279
cat__tenure_bucket_6-12m,0.001873027908513498,,0.001873027908513498
cat__SeniorCitizen_1,0.001944016244516017,,0.001944016244516017
cat__SeniorCitizen_0,0.0020706608505500104,,0.0020706608505500104
cat__tenure_bucket_12-24m,0.0022653409897098313,,0.0022653409897098313
cat__PaymentMethod_Mailed check,0.002298362852444091,,0.002298362852444091
cat__PaymentMethod_Bank transfer (automatic),0.0025139489078349355,,0.0025139489078349355
cat__PaymentMethod_Credit card (automatic),0.002606520037476953,,0.002606520037476953
cat__StreamingTV_No,0.00271242592209574,,0.00271242592209574
cat__Partner_Yes,0.002774059121865343,,0.002774059121865343
cat__Dependents_Yes,0.0029986241974400856,,0.0029986241974400856
cat__StreamingTV_Yes,0.0030261703213415323,,0.0030261703213415323
cat__Partner_No,0.0030985258042454306,,0.0030985258042454306
cat__Dependents_No,0.0034399493422748438,,0.0034399493422748438
cat__MultipleLines_No,0.0035001690057032634,,0.0035001690057032634
cat__MultipleLines_Yes,0.0035677707484294365,,0.0035677707484294365
cat__OnlineBackup_Yes,0.003929858015480017,,0.003929858015480017
