feature,value,odds_ratio,abs_value
cat__Contract_Month-to-month,0.08611590295608003,,0.08611590295608003
num__high_charge_to_clv_ratio,0.08145688140633071,,0.08145688140633071
num__is_long_contract,0.07303169075302177,,0.07303169075302177
num__tenure_years,0.04517605085605905,,0.04517605085605905
num__tenure,0.044010990100446144,,0.044010990100446144
num__CLV,0.04098097686158096,,0.04098097686158096
num__internet_no_tech_support,0.03685789839168794,,0.03685789839168794
cat__TechSupport_No,0.03654847532847002,,0.03654847532847002
cat__OnlineSecurity_No,0.03629989490048854,,0.03629989490048854
cat__Contract_Two year,0.03281735972786874,,0.03281735972786874
num__per_service_charge,0.0326572269903776,,0.0326572269903776
num__is_fiber_optic,0.028964628477201868,,0.028964628477201868
num__charges_per_month_of_tenure,0.028293934457851166,,0.028293934457851166
cat__InternetService_Fiber optic,0.02764932437731601,,0.02764932437731601
num__TotalCharges,0.02693794250395579,,0.02693794250395579
num__tenure_bucket_ord,0.026804009524270162,,0.026804009524270162
num__MonthlyCharges,0.026615403498530425,,0.026615403498530425
num__tenure_fraction_complete,0.024071811114726515,,0.024071811114726515
cat__tenure_bucket_24m+,0.018360324925338525,,0.018360324925338525
cat__PaymentMethod_Electronic check,0.015569752607069935,,0.015569752607069935
